sar_mean_during,sar_std_during,sar_p10_during,sar_mean_before,sar_p10_before,sar_delta,sar_p10_delta,sar_images,ndvi_mean,ndvi_min,ndvi_std,elevation_mean,elevation_min,elevation_p10,slope_mean,slope_p90,soil_during,soil_before,soil_delta,soil_max,rain_total,rain_max_cell,is_monsoon,province,year,flood
-11.251215834298044,3.465715099872882,-15.371859806931978,-11.558626849579433,-15.872253241157821,-0.3074110152813887,-0.5003934342258436,71,0.12112508699930007,-0.16883116960525513,0.1,73.35758511468356,-3,9.03172818274012,5,20,0.11654375920323283,0.07551269205946609,0.04103106714376674,0.20224465429782867,147.79584854285068,464.4434447288513,1,Sindh,2015,0
-9.755765697746128,2.885282083036649,-14.625717943937234,-10.60860828262374,-15.438506915658092,-0.852842584877612,-0.8127889717208578,108,0.38951237669360395,-0.6071152091026306,0.20311856979479256,222.83165960370047,69,104.40968490134155,5,20,0.15554373343399075,0.10741181969838194,0.04813191373560881,0.3407750427722931,283.33527907514195,1114.197956085205,1,Punjab,2015,0
-9.55592298526247,4.738922702377915,-16.623367850906213,-9.491736448427151,-16.373577352468843,0.06418653683531872,0.24979049843737045,173,0.045416281109402525,0.0005296610179357231,0.012416194462466692,979.1201015911074,0,119.12618854845526,5,20,0.07021254055763981,0.07162114132210083,-0.0014086007644610182,0.16255472600460052,43.88554587116143,275.76917147636414,1,Balochistan,2015,1
-7.003474086183037,3.600584376404812,-11.876188826561647,-7.334823946040959,-12.12248300208643,-0.3313498598579221,-0.24629417552478294,70,0.15298269690300834,-0.10649403184652328,0.1,1954.3789395142132,149,271.94783128117473,5,20,0.17725790742299535,0.20648365699846008,-0.029225749575464727,0.3437212407588959,325.2022773083676,996.9823398590088,1,KPK,2015,1
-5.128818790972683,3.117693615861568,-8.870783578760848,-5.0306401454311365,-9.872991083185777,0.09817864554154632,-1.0022075044249288,73,0.08106211385387557,-0.1012696921825409,0.1,3925.1236777777167,469,2224.135876362337,5,20,0.14997339055342762,0.19837636170482803,-0.04840297115140041,0.34649431705474854,158.1533312618407,812.2777404785156,1,GB,2015,1
-6.5225395876374614,2.203462550058517,-8.562689198626867,-6.889097684290893,-9.937603397088948,-0.3665580966534314,-1.374914198462081,35,0.23359329100080112,-0.04419315233826637,0.1,2068.1532983648135,252,623.6578101891986,5,20,0.25962544339241334,0.2817774336588375,-0.02215199026642417,0.3982868194580078,482.5201820321103,1091.1699056625366,1,AJK,2015,0
-11.891075012813031,3.397293397928375,-16.12525919020759,-12.3581610565205,-16.621169413525177,-0.467086043707468,-0.49591022331758694,74,0.27870302216513915,-1.0,0.22743374228331328,73.35758511468356,-3,9.03172818274012,5,20,0.10613659142591694,0.06818840683070895,0.03794818459520799,0.23077328503131866,118.52897252786238,355.77901750802994,1,Sindh,2016,1
-10.870713787981785,2.85028245504745,-15.311317409410282,-11.624311876949474,-15.936702169226985,-0.7535980889676885,-0.6253847598167024,137,0.3752879038469228,-1.0,0.21490060207191886,222.83165960370047,69,104.40968490134155,5,20,0.12091449085947588,0.07879665999223348,0.0421178308672424,0.2698919177055359,259.90067145737044,1015.0386028289795,1,Punjab,2016,1
-10.445601173580485,4.682399057372387,-17.37461247539786,-10.380396847557058,-17.62426507254687,0.06520432602342652,-0.24965259714900867,155,0.07301547827340116,-1.0,0.05606456612019249,979.1201015911074,0,119.12618854845526,5,20,0.07206985074969567,0.07401203536975429,-0.0019421846200586151,0.15263575315475464,49.053782632047266,324.13135385513306,1,Balochistan,2016,0
-7.971081917089949,3.4187351427818564,-12.374334172472382,-8.184814994345231,-12.373470137935334,-0.21373307725528257,0.0008640345370487523,84,0.3342711922895169,-0.9551635384559631,0.24047548291755586,1954.3789395142132,149,271.94783128117473,5,20,0.1412143673767772,0.19868506645360043,-0.05747069907682323,0.28310251235961914,248.48032829905782,796.0546417236328,1,KPK,2016,0
